Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
CA4095112320220060902_CA4119412345820200727,1,Fire_1,14,CA4095112320220060902,2006,Klamath Mountains,Pacific Northwest,Low,2,5.551643835616439,61.1649233844104,556.8468789347728,173.36590421200682,37.78923786621199,0.03205751614026221,405.27,4003.4293186805285,0.1012307119071534
CA4095112320220060902_CA4119412345820200727,1,Fire_2,14,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,10.126285714285714,135.32695276790247,524.3081409904242,130.43846284069747,151.314522072563,0.06795923653016317,708.84,4003.4293186805285,0.17705820274944264
OR4427112168020060723_OR4425712174320170811,1,Both,11,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,5.58,35.69610928242265,612.8457665550475,225.8064516129032,0.5540493608590856,0.03514399959476422,273.42,1784.9419736888901,0.15318145017057921
OR4427112168020060723_OR4425712174320170811,1,Either,11,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,11.262676056338028,269.64075970737196,705.335107479073,129.50665916338397,117.6890891347156,0.21817515960766826,799.65,1784.9419736888901,0.44799775667070313
OR4427112168020060723_OR4425712174320170811,1,Fire_1,11,OR4427112168020060723,2006,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,14.780571428571427,136.20031315240084,529.3544818104742,128.16051960102067,60.42301460377106,0.10699507480644142,517.3199999999999,1784.9419736888901,0.28982454759068105
OR4427112168020060723_OR4425712174320170811,1,Fire_2,11,OR4425712174320170811,2017,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,7.41,92.4284842105263,614.8719163914659,180.94466936572198,41.485074757329194,0.08934744229831018,555.75,1784.9419736888901,0.31135465925060124
OR4431412180120060805_OR4435412173920070830,1,Both,1,NA,NA,Cascades,Pacific Northwest,Mixed,2,31.98292682926829,906.7519766643787,608.0199065573429,90.00228780599406,332.5943434801549,0.47332804884367907,1311.3,2294.0749077784144,0.5716029566226609
OR4431412180120060805_OR4435412173920070830,1,Either,1,NA,NA,Cascades,Pacific Northwest,Mixed,2,43.163513513513514,1263.503863060017,675.6110620907912,61.839015685169535,659.5831687255283,0.6178961267540776,1597.05,2294.0749077784144,0.6961629694762608
OR4431412180120060805_OR4435412173920070830,1,Fire_1,1,OR4431412180120060805,2006,Cascades,Pacific Northwest,Mixed,2,39.81970588235294,1071.9443149637707,592.4263514884329,83.62693611646613,376.05759718799874,0.5243682304885715,1353.8700000000001,2294.0749077784144,0.590159456175339
OR4431412180120060805_OR4435412173920070830,1,Fire_2,1,OR4435412173920070830,2007,Cascades,Pacific Northwest,Mixed,2,43.18,1399.9779295970359,679.1972099891071,66.6975451597962,608.6762769465563,0.6429258238251316,1554.48,2294.0749077784144,0.6776064699235828
WA4811112069920060706_WA4822612066620150629,1,Both,9,NA,NA,North Cascades,Pacific Northwest,Mixed,2,3.123134328358209,77.38095483870968,734.0800225474546,253.76344086021504,4.337469469312462,0.048089206686688264,418.5,2850.32774387486,0.14682522067833254
WA4811112069920060706_WA4822612066620150629,1,Either,9,NA,NA,North Cascades,Pacific Northwest,Mixed,2,13.978899082568807,424.9875168340225,648.9325569994339,137.664894664304,231.3707559241726,0.26706402505319066,1523.7,2850.32774387486,0.53457010453423
WA4811112069920060706_WA4822612066620150629,1,Fire_1,9,WA4811112069920060706,2006,North Cascades,Pacific Northwest,Mixed,2,9.753861386138613,216.361660880687,587.8843144312393,153.35891345392534,159.68434050281084,0.1520982984962425,985.14,2850.32774387486,0.34562341194516727
WA4811112069920060706_WA4822612066620150629,1,Fire_2,9,WA4822612066620150629,2015,North Cascades,Pacific Northwest,Mixed,2,8.395263157894737,137.0977261613692,630.2704031508562,178.42141558522977,19.226625859678098,0.09854656209399479,957.06,2850.32774387486,0.33577191326739525
WA4897812059620060822_WA4885512041420170723,1,Both,11,NA,NA,North Cascades,Pacific Northwest,Low,2,2.46125,9.867409852717113,672.1104762209801,295.24293211444046,0.420652216202626,0.017886286375026098,177.21,1252.9151960403688,0.14143814406596944
WA4897812059620060822_WA4885512041420170723,1,Either,11,NA,NA,North Cascades,Pacific Northwest,Low,2,14.666842105263157,300.3736580902142,847.6936963905949,135.3572325689884,68.82069403033374,0.3296392296184529,836.01,1252.9151960403688,0.6672518640064957
WA4897812059620060822_WA4885512041420170723,1,Fire_1,11,WA4897812059620060822,2006,North Cascades,Pacific Northwest,Low,2,11.187692307692307,152.708948019802,609.8825902114731,164.6039603960396,52.57281044363497,0.21219313233665502,581.76,1252.9151960403688,0.4643251209966614
WA4897812059620060822_WA4885512041420170723,1,Fire_2,11,WA4885512041420170723,2017,North Cascades,Pacific Northwest,Low,2,10.272857142857143,133.91301627033792,610.3204245116971,163.95494367959952,12.051085506209558,0.17871919879945755,431.46,1252.9151960403688,0.34436488707580365
OR4468212159620070712_OR4472312167920200817,1,Both,13,NA,NA,Cascades,Pacific Northwest,Mixed,2,6.7387500000000005,125.94989148580969,672.776360281951,164.0697458727509,96.0001483956193,0.09414989205515073,646.92,2813.2799116205633,0.22995223380646393
OR4468212159620070712_OR4472312167920200817,1,Either,13,NA,NA,Cascades,Pacific Northwest,Mixed,2,17.578051948051947,216.8193596648713,578.4836843258315,117.87131236562715,234.1518482710183,0.11737545156314916,1353.51,2813.2799116205633,0.4811145860065959
OR4468212159620070712_OR4472312167920200817,1,Fire_1,13,OR4468212159620070712,2007,Cascades,Pacific Northwest,Mixed,2,22.351153846153846,212.55474368901963,553.4873423929998,109.23545506169015,219.8225379568216,0.10166780732289125,1162.26,2813.2799116205633,0.41313343730894203
OR4468212159620070712_OR4472312167920200817,1,Fire_2,13,OR4472312167920200817,2020,Cascades,Pacific Northwest,Mixed,2,8.13757281553398,124.09386126919361,591.1091399684713,167.5077848169226,104.44826750440781,0.10345931053562944,838.17,2813.2799116205633,0.29793338250411777
ID4637411451920070718_ID4638111450920170710,1,Both,10,NA,NA,Idaho Batholith,Northern Rockies,High,2,4.167916666666667,40.65832550234929,701.9612946622326,252.92412276317106,13.474448084735863,0.026759417147547294,900.27,4150.314612146905,0.2169160856782136
ID4637411451920070718_ID4638111450920170710,1,Either,10,NA,NA,Idaho Batholith,Northern Rockies,High,2,22.159285714285716,571.1170757180157,737.4787895154399,114.32646745962673,362.0664176296518,0.2553204031565817,2481.84,4150.314612146905,0.5979884013458381
ID4637411451920070718_ID4638111450920170710,1,Fire_1,10,ID4637411451920070718,2007,Idaho Batholith,Northern Rockies,High,2,12.204566929133858,149.501005690396,609.1799995466429,152.20841559245926,143.54877030943783,0.07910725587864872,1549.98,4150.314612146905,0.373460844501669
ID4637411451920070718_ID4638111450920170710,1,Fire_2,10,ID4638111450920170710,2017,Idaho Batholith,Northern Rockies,High,2,13.180791366906474,212.00942820651372,587.8665603479741,153.88646002194167,110.56080843138474,0.11443228872577559,1832.13,4150.314612146905,0.4414436425223828
MT4732811325720070716_MT4726811348520170724,1,Both,10,NA,NA,Canadian Rockies,Northern Rockies,High,2,4.100331753554502,52.3681753874961,662.1766296425309,226.0133846527272,6.319247823391331,0.029639319292590057,865.17,5738.998197658529,0.15075279172469216
MT4732811325720070716_MT4726811348520170724,1,Either,10,NA,NA,Canadian Rockies,Northern Rockies,High,2,25.21825174825175,1164.6388736928798,750.2615221174759,105.10203232756828,747.9194257852483,0.2696080303059303,3606.21,5738.998197658529,0.6283692511824291
MT4732811325720070716_MT4726811348520170724,1,Fire_1,10,MT4732811325720070716,2007,Canadian Rockies,Northern Rockies,High,2,17.03606896551724,526.3357820526833,520.4636280154143,114.45088109204406,533.7031821618664,0.1648667532925922,2470.23,5738.998197658529,0.4304287812823912
MT4732811325720070716_MT4726811348520170724,1,Fire_2,10,MT4726811348520170724,2017,Canadian Rockies,Northern Rockies,High,2,14.192553191489361,296.00528850910723,649.5191460565749,148.35469604977138,138.74885779647042,0.11286464600464056,2001.15,5738.998197658529,0.34869326162473013
MT4797011293420070628_MT4795711307120170816,1,Both,10,NA,NA,Canadian Rockies,Northern Rockies,High,2,9.681428571428572,271.005577689243,693.8545377856246,136.49107274605282,57.449651099574915,0.3264478534824322,406.62,1014.2814433234394,0.4008946458368113
MT4797011293420070628_MT4795711307120170816,1,Either,10,NA,NA,Canadian Rockies,Northern Rockies,High,2,43.403684210526315,660.2329182582123,737.0290977067657,75.23009203681471,304.2408129693549,0.7261002405672038,824.6700000000001,1014.2814433234394,0.8130583532099828
MT4797011293420070628_MT4795711307120170816,1,Fire_1,10,MT4797011293420070628,2007,Canadian Rockies,Northern Rockies,High,2,34.632,587.8546465696464,644.5108687304511,97.02009702009703,146.38011476082715,0.6285829285320874,692.64,1014.2814433234394,0.6828873825498228
MT4797011293420070628_MT4795711307120170816,1,Fire_2,10,MT4795711307120170816,2017,Canadian Rockies,Northern Rockies,High,2,17.375806451612902,266.90987969924817,585.0410081560983,96.463380673907,155.5056190264932,0.36637759908370826,538.65,1014.2814433234394,0.5310656164969711
MT4797011293420070628_MT4795711307120170816,2,Both,10,NA,NA,Canadian Rockies,Northern Rockies,High,2,6.646209677419355,68.73241127006662,786.946245262537,212.73342797859561,8.633929240182654,0.04868247651259954,824.13,2943.1534766502195,0.2800159782825842
MT4797011293420070628_MT4795711307120170816,2,Either,10,NA,NA,Canadian Rockies,Northern Rockies,High,2,66.52749999999999,2100.4791961970614,847.2766666909616,64.05872258339284,755.9806484746595,0.7615810788607359,2394.99,2943.1534766502195,0.8137496121085341
MT4797011293420070628_MT4795711307120170816,2,Fire_1,10,MT4797011293420070628,2007,Canadian Rockies,Northern Rockies,High,2,44.775,1361.7276568557072,536.8929611710591,93.54710058227647,401.2448924254054,0.5428768878945852,1880.55,2943.1534766502195,0.638957504227869
MT4797011293420070628_MT4795711307120170816,2,Fire_2,10,MT4795711307120170816,2017,Canadian Rockies,Northern Rockies,High,2,27.886875,278.1333241444228,613.8966986484049,118.78347789058473,189.06207276253423,0.15280548689287685,1338.57,2943.1534766502195,0.45480808616324936
ID4475011554820070717_ID4478611547620200826,1,Both,13,NA,NA,Idaho Batholith,Northern Rockies,Mixed,2,3.757058823529412,57.980079849694704,740.7830623591599,249.6738166066489,4.653961209845594,0.03538115934479034,574.83,3866.4645967895053,0.14867070048366834
ID4475011554820070717_ID4478611547620200826,1,Either,13,NA,NA,Idaho Batholith,Northern Rockies,Mixed,2,13.730142857142857,582.7501601273528,722.076946711954,129.88107500702313,237.0282117678635,0.252905458079702,1922.22,3866.4645967895053,0.49715184295133685
ID4475011554820070717_ID4478611547620200826,1,Fire_1,13,ID4475011554820070717,2007,Idaho Batholith,Northern Rockies,Mixed,2,13.98978947368421,448.985097176136,642.1260954547009,142.8861650978533,83.27021411545273,0.1890564317094652,1329.03,3866.4645967895053,0.34373261845034137
ID4475011554820070717_ID4478611547620200826,1,Fire_2,13,ID4478611547620200826,2020,Idaho Batholith,Northern Rockies,Mixed,2,8.283829787234042,190.86927877947298,597.780170478701,179.38049006010172,56.200608342051375,0.10849446296451826,1168.02,3866.4645967895053,0.3020899249846638
WA4814412059320070805_WA4822612066620150629,1,Both,8,NA,NA,North Cascades,Pacific Northwest,Low,2,1.6017567567567568,5.615466970387243,666.1025947767895,364.4646924829157,0,0.004142788283996772,118.53,3932.1343219316423,0.03014393464101519
WA4814412059320070805_WA4822612066620150629,1,Either,8,NA,NA,North Cascades,Pacific Northwest,Low,2,5.826705882352941,248.9985498818826,738.3659594841606,152.88630444000242,179.83040959300016,0.09137022557853654,990.54,3932.1343219316423,0.25190899366667663
WA4814412059320070805_WA4822612066620150629,1,Fire_1,8,WA4814412059320070805,2007,North Cascades,Pacific Northwest,Low,2,9.26027027027027,161.12747044917256,567.6863702391294,133.9637509850276,144.43632453563777,0.0756001640996759,685.26,3932.1343219316423,0.1742717679245935
WA4814412059320070805_WA4822612066620150629,1,Fire_2,8,WA4822612066620150629,2015,North Cascades,Pacific Northwest,Low,2,2.8443624161073826,61.76402420896157,707.8110775462159,249.592977985418,31.23234034430259,0.03877283620492007,423.81,3932.1343219316423,0.10778116038309835
OR4259112058820070315_OR4257212055720200908,1,Either,13,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,1.787837837837838,8.863714285714284,747.7455486760366,332.8798185941043,0,0.014695089973957607,132.3,1353.5133187512786,0.09774562109374517
OR4259112058820070315_OR4257212055720200908,1,Fire_2,13,OR4257212055720200908,2020,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,1.8375,8.864326530612244,733.7940361392598,332.8798185941043,0,0.014695089973957607,132.3,1353.5133187512786,0.09774562109374517
OR4259112058820070315_OR4257212055720200908,1,Fire_1,13,OR4259112058820070315,2007,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,NA,NA,NA,NA,0,NA,0,1353.5133187512786,0
OR4259112058820070315_OR4257212055720200908,1,Both,13,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,NA,NA,NA,NA,0,NA,0,1353.5133187512786,0
CA4054612266320080621_CA4065012263020180723,1,Both,10,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,5.3765217391304345,133.47804039301312,625.6932734546621,213.6098981077147,17.76027985329011,0.042235513123354114,989.28,7820.432985751054,0.12649938971441646
CA4054612266320080621_CA4065012263020180723,1,Either,10,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,15.977755102040815,788.0809474652258,671.0720009862076,102.98501743495422,1139.667463534252,0.1736949862590691,3914.5499999999997,7820.432985751054,0.5005541262398602
CA4054612266320080621_CA4065012263020180723,1,Fire_1,10,CA4054612266320080621,2008,Klamath Mountains,Pacific Northwest,Low,2,11.826788321167884,339.71552574570904,543.8653298780764,125.64572571238128,344.24454237633546,0.07181188062390453,1620.27,7820.432985751054,0.20718418058848612
CA4054612266320080621_CA4065012263020180723,1,Fire_2,10,CA4065012263020180723,2018,Klamath Mountains,Pacific Northwest,Low,2,12.252089552238806,675.0065420458284,657.9054180819938,126.13748492489859,770.0427552575737,0.17163499801681287,3283.56,7820.432985751054,0.4198693353657906
CA4091712133820080622_CA4090112136820140731,1,Both,6,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Low,2,0.54,0.5549999999999999,619.047619047619,611.1111111111111,0,3.332493360695592e-4,1.08,1890.4763845305904,5.712845761192445e-4
CA4091712133820080622_CA4090112136820140731,1,Either,6,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Low,2,2.232,38.32040322580645,859.2447792954711,243.85560675883255,2.6911958709137154,0.038561708888049,156.24,1890.4763845305904,0.08264583534525069
CA4091712133820080622_CA4090112136820140731,1,Fire_1,6,CA4091712133820080622,2008,Eastern Cascades Slopes and Foothills,Pacific Northwest,Low,2,4.214571428571428,40.55090298962783,601.2807356678334,210.29082774049212,2.6911958709137154,0.038561708888049,147.51000000000002,1890.4763845305904,0.0780279516882868
CA4091712133820080622_CA4090112136820140731,1,Fire_2,6,CA4090112136820140731,2014,Eastern Cascades Slopes and Foothills,Pacific Northwest,Low,2,0.36333333333333334,0.7026605504587156,1040.179573512907,788.9908256880734,0,6.664986721391184e-4,9.81,1890.4763845305904,0.005189168233083137
CA4154112338120080722_CA4145212338020170811,1,Both,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,2.536229508196721,16.84261780104712,612.3222128595677,272.8330424665503,7.686836953058815,0.007835280250808034,309.42,5812.172448497112,0.053236548423474354
CA4154112338120080722_CA4145212338020170811,1,Either,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,5.048225806451613,53.972248634141664,590.1599302604054,198.72839387839866,63.72556240199514,0.024698166007981852,938.97,5812.172448497112,0.16155232975628503
CA4154112338120080722_CA4145212338020170811,1,Fire_1,9,CA4154112338120080722,2008,Klamath Mountains,Pacific Northwest,Low,2,3.0585365853658537,16.36156937799043,571.0832708592311,253.74800637958535,8.034723809678445,0.008237883583853507,376.2,5812.172448497112,0.06472622815884899
CA4154112338120080722_CA4145212338020170811,1,Fire_2,9,CA4145212338020170811,2017,Klamath Mountains,Pacific Northwest,Low,2,5.100526315789474,54.47396037560623,574.6210737974935,201.97434045334157,62.4437742650384,0.024295562674936377,872.19,5812.172448497112,0.1500626500209104
CA4071412316220080621_CA4077112312420170831,1,Both,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,4.753636363636364,49.15698795180723,559.5402703574855,211.13023522662075,7.744483540632746,0.04838958239617155,156.87,1746.450285685586,0.08982219607723856
CA4071412316220080621_CA4077112312420170831,1,Either,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,5.985,67.21638414217361,686.8736099667334,173.00827827143618,38.04233766516643,0.0780726489139509,395.01,1746.450285685586,0.22617878289328744
CA4071412316220080621_CA4077112312420170831,1,Fire_1,9,CA4071412316220080621,2008,Klamath Mountains,Pacific Northwest,Low,2,7.5280645161290325,81.29172772849982,562.4680589191829,157.60380511633886,35.097136904535105,0.07570212624065602,233.37,1746.450285685586,0.13362533243160044
CA4071412316220080621_CA4077112312420170831,1,Fire_2,9,CA4077112312420170831,2017,Klamath Mountains,Pacific Northwest,Low,2,4.97671875,43.910361684091555,628.7016459606806,203.8240557596308,8.676639943143163,0.050760105069466425,318.51,1746.450285685586,0.18237564653892555
CA4009612297920080621_CA3966012280920200817,1,Both,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,5.4531719128329295,127.58286205242968,576.5270451706302,170.2365728900256,367.79356630532556,0.009398829081174847,2252.16,35209.70507515964,0.06396418246595577
CA4009612297920080621_CA3966012280920200817,1,Either,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,6.4305533596837945,243.74879515406317,619.7910893312576,161.21160713736916,775.8261845019827,0.023383325655313435,4880.79,35209.70507515964,0.1386205874085377
CA4009612297920080621_CA3966012280920200817,1,Fire_1,12,CA4009612297920080621,2008,Klamath Mountains,Pacific Northwest,Low,2,5.279890310786106,260.49535493923344,602.136050200639,161.81572660226448,612.354275165761,0.022808200133620657,2888.1,35209.70507515964,0.08202567996053871
CA4009612297920080621_CA3966012280920200817,1,Fire_2,12,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,7.098411371237458,162.80109636382912,585.3157027825617,165.92812466871618,527.8761504883299,0.011147210667120887,4244.85,35209.70507515964,0.12055908991395477
CA4018512311920080621_CA3966012280920200817,1,Both,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,12.877297297297297,106.54908575746128,590.8033530372943,126.68429668807455,79.0409885495046,0.11260896934039319,476.46,1580.069518815638,0.30154369432880196
CA4018512311920080621_CA3966012280920200817,1,Either,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,29.628529411764706,567.4722406861431,607.8000686929544,102.62366359927334,228.20450323601204,0.45812541244551463,1007.37,1580.069518815638,0.6375478977374917
CA4018512311920080621_CA3966012280920200817,1,Fire_1,12,CA4018512311920080621,2008,Klamath Mountains,Pacific Northwest,Low,2,14.765142857142857,126.20203761755486,532.5174708652806,119.58667131080925,97.91278415096028,0.13243088200122113,516.78,1580.069518815638,0.3270615589036609
CA4018512311920080621_CA3966012280920200817,1,Fire_2,12,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,32.235,535.3034741740345,591.152826061122,105.59950364510624,208.10318915579222,0.4360251190190743,967.0500000000001,1580.069518815638,0.6120300331626327
CA4104812343519990823_CA4107312329420080621,1,Both,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,2.5812,13.6444769874477,643.6058149419312,266.85262668526263,0,0.024604133937023008,64.53,1053.4815030004754,0.061254041780713524
CA4104812343519990823_CA4107312329420080621,1,Either,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,6.253333333333333,23.034722814498934,450.11465582337405,211.44278606965173,1.8809773705126718,0.035368442534470565,168.84,1053.4815030004754,0.1602685946731082
