Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,erc_max_max,erc_max_mean,erc_mean_max,erc_mean_mean,vpd_max_max,vpd_max_mean,vpd_mean_max,vpd_mean_mean,FRG_max4
MT4557410993319901005,278,First,MT4557410993319901005_MT4559210981020060822_1,1990,61.53832626,60.29765141,43.93166351,41.38015981,1.539495587,1.396149508,0.758047163,0.667830012,Mixed
ID4552311499419900707,188,First,ID4552311499419900707_ID4551811500220000731_1,1990,63.85324097,62.69997642,50.38671494,48.17071254,2.568325996,2.294867566,1.86634624,1.646984254,Low
CA3979312286719900809,221,First,CA3979312286719900809_CA3966012280920200817_1,1990,81.38545227,80.04164263,70.84420013,69.04875079,3.684643507,3.559844531,2.001585245,1.926104239,Low
ID4610111549719910924,267,First,ID4610111549719910924_ID4610011544620150814_1,1991,65.04798889,62.72611762,56.71887207,54.28708292,1.920915365,1.80870838,1.194658995,1.111821052,Mixed
MT4525511054919910716,197,First,MT4525511054919910716_MT4526911048420070808_1,1991,64.74665833,62.70003106,53.13251114,50.9483242,2.188123226,2.17738413,1.507219672,1.501504787,High
ID4549611561419920820,233,First,ID4549611561419920820_ID4554811559420070713_1,1992,63.20681,56.13967424,54.64414215,47.51847673,2.845483541,2.269718901,1.735415459,1.364617991,Low
ID4546711572619920818,231,First,ID4546711572619920818_ID4554811559420070713_1,1992,64.85949707,59.58920296,56.39932632,50.828295,2.943377972,2.543289643,1.879539013,1.597817237,Low
CA4136312315119940919,262,First,CA4136312315119940919_CA4143512316220170626_1,1994,77.17810059,76.00721272,61.39633179,59.83501158,2.915604591,2.766895309,1.71879971,1.616644427,Low
MT4871911410119940812,224,First,MT4871911410119940812_MT4865211410120010816_1,1994,65.20742798,61.19899234,58.36676407,54.35624513,2.208290815,2.080185263,1.615224481,1.486073967,High
MT4871911410119940812,224,First,MT4871911410119940812_MT4870811400920030716_1,1994,65.20742798,64.10905826,58.36676407,57.20661165,2.102748632,1.934238368,1.502177119,1.348580914,High
CA4162312361019940722,203,First,CA4162312361019940722_CA4161412365820080621_1,1994,81.83817291,78.02919453,79.12805176,74.01978006,3.432178259,2.871069619,2.657929897,2.238201744,Low
CA4162312361019940722,203,First,CA4162312361019940722_CA4178612347520170812_1,1994,78.96690369,71.38167794,75.21692657,65.88538661,2.946884155,2.282537702,2.246343851,1.797552414,Low
ID4479711558919940808,220,First,ID4479711558919940808_ID4475011554820070717_1,1994,74.68296051,70.11410283,66.65479279,61.4937592,2.576917171,2.098371697,1.843008995,1.474873709,Mixed
WA4781512037419940724,205,First,WA4781512037419940724_WA4785112054920180728_1,1994,82.71932983,74.02026796,74.14295197,62.81090116,3.542822361,2.603057402,2.240561485,1.601425515,Low
ID4640811494519940802,214,First,ID4640811494519940802_ID4639911493920120808_1,1994,68.86273193,66.37130958,60.5811348,58.3612889,2.330142498,2.003455419,1.758090138,1.495588697,High
ID4515511602719940802,214,First,ID4515511602719940802_ID4510511570820070706_1,1994,63.95190811,63.60560854,56.41248322,55.94151137,2.07435894,2.041339297,1.497841954,1.469599966,High
ID4515511602719940802,214,First,ID4515511602719940802_ID4520811624820150812_1,1994,76.96620178,71.13992559,68.92641449,61.90740846,3.090743065,2.344423392,2.382649899,1.79855967,Mixed
ID4521611552119940811,223,First,ID4521611552119940811_ID4510511570820070706_1,1994,75.90139771,70.1503961,67.58608246,62.19216656,2.911321163,2.500855258,2.057920456,1.7301316900000001,Low
ID4521611552119940811,223,First,ID4521611552119940811_ID4510511570820070706_2,1994,70.91287994,61.15619438,62.69069672,53.14689913,2.976749182,2.336331469,2.093795061,1.61080662,Low
ID4521611552119940811,223,First,ID4521611552119940811_ID4510511570820070706_3,1994,72.53569031,59.79980563,63.28766632,51.06221429,3.202356339,2.288218448,2.291100502,1.580701643,High
ID4521611552119940811,223,First,ID4521611552119940811_ID4524811543720200826_1,1994,67.54894257,56.971869,58.33429337,49.03306489,2.991784811,2.029722149,2.100008249,1.367593961,Mixed
ID4521611552119940811,223,Second,ID4512611554919850708_ID4521611552119940811_1,1994,70.53321838,62.57413277,62.69069672,54.98178265,2.924823523,2.340925778,2.050897121,1.598060559,Mixed
ID4570711463219960704,186,First,ID4570711463219960704_MT4565711478020130716_1,1996,51.93021011,51.0543772,36.2625885,36.12135848,2.161053896,2.044730212,1.193977118,1.122787539,Low
OR4431911871819960726,208,First,OR4431911871819960726_OR4428411896120150812_1,1996,76.46718597,72.1867329,66.02992249,60.37309945,2.780469656,2.42952226,1.743701339,1.507454287,Mixed
