Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,gm_Date,eddi30d,spei30d,FRG_max4
MT4871911410119940812,224,First,MT4871911410119940812_MT4870811400920030716_1,1994,1994-240,0.35865763,-0.739444572,High
CA4162312361019940722,203,First,CA4162312361019940722_CA4161412365820080621_1,1994,1994-220,1.534519167,-1.737177252,Low
CA4162312361019940722,203,First,CA4162312361019940722_CA4178612347520170812_1,1994,1994-220,1.399129481,-1.777374169,Low
ID4479711558919940808,220,First,ID4479711558919940808_ID4475011554820070717_1,1994,1994-235,1.54983698,-1.450000048,Mixed
WA4781512037419940724,205,First,WA4781512037419940724_WA4785112054920180728_1,1994,1994-220,1.397376481,-1.44254382,Low
ID4640811494519940802,214,First,ID4640811494519940802_ID4639911493920120808_1,1994,1994-230,0.824523245,-0.737816207,High
ID4515511602719940802,214,First,ID4515511602719940802_ID4510511570820070706_1,1994,1994-230,1.690000057,-1.278438018,High
ID4515511602719940802,214,First,ID4515511602719940802_ID4520811624820150812_1,1994,1994-230,1.630950852,-1.117705216,Mixed
ID4521611552119940811,223,First,ID4521611552119940811_ID4510511570820070706_1,1994,1994-240,1.419362461,-1.25337891,Low
ID4521611552119940811,223,First,ID4521611552119940811_ID4510511570820070706_2,1994,1994-240,1.165846946,-0.853052558,Low
ID4521611552119940811,223,First,ID4521611552119940811_ID4510511570820070706_3,1994,1994-240,1.08071912,-0.900851239,High
ID4521611552119940811,223,First,ID4521611552119940811_ID4524811543720200826_1,1994,1994-240,0.967771322,-0.881569504,Mixed
ID4521611552119940811,223,Second,ID4512611554919850708_ID4521611552119940811_1,1994,1994-240,1.247948813,-1.144877484,Mixed
ID4570711463219960704,186,First,ID4570711463219960704_MT4565711478020130716_1,1996,1996-205,0.029182719,-0.540000021,Low
OR4431911871819960726,208,First,OR4431911871819960726_OR4428411896120150812_1,1996,1996-225,-0.307612392,-0.16933691,Mixed
CA3920212274419960811,224,First,CA3920212274419960811_CA3924012311020180727_1,1996,1996-240,1.081662978,-1.084686245,Low
OR4335612252819960813,226,First,OR4335612252819960813_OR4334712249520080817_1,1996,1996-245,0.486562475,-0.365163197,Mixed
OR4335612252819960813,226,First,OR4335612252819960813_OR4330612262220170812_1,1996,1996-245,0.478289472,-0.443251689,Mixed
ID4546611650219960814,227,First,ID4546611650219960814_ID4539911656820050806_1,1996,1996-245,-0.308390006,-0.064418673,Low
ID4557011468119960723,205,First,ID4557011468119960723_ID4542411459020120730_1,1996,1996-220,-0.336055877,-0.035806329,Low
OR4487312131019960810,223,First,OR4487312131019960810_OR4504212118420100818_1,1996,1996-240,0.772691367,-0.770061693,Low
ID4541611481219980807,219,First,ID4541611481219980807_ID4542411459020120730_1,1998,1998-235,0.029999999,0.134035842,Low
ID4446211511519980823,235,First,ID4446211511519980823_ID4444511516620120727_1,1998,1998-250,0.186038965,-0.188126315,High
ID4536811434319980816,228,First,ID4536811434319980816_ID4542411459020120730_1,1998,1998-245,0.922112888,-1.153186624,Low
CA4083812250819990908,251,First,CA4083812250819990908_CA4065012263020180723_1,1999,1999-270,0.610123152,-0.446000326,Low
MT4566410972219991216,350,First,MT4566410972219991216_MT4559210981020060822_1,1999,1999-365,1.450000048,-1.678669048,High
CA4084112245519990823,235,First,CA4084112245519990823_CA4065012263020180723_1,1999,1999-250,-1.017398086,0.775325696,Low
CA4078612244619990823,235,First,CA4078612244619990823_CA4065012263020180723_1,1999,1999-250,-1.098380814,0.791198603,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4107312329420080621_1,1999,1999-250,-1.081752364,1.108444264,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4107012343620090702_1,1999,1999-250,-1.033675703,0.943991753,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4103512348820130810_1,1999,1999-250,-0.937644703,0.814551296,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4091312343720150731_1,1999,1999-250,-1.077175066,0.837764929,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4119412345820200727_1,1999,1999-250,-1.036012268,0.937192201,Low
ID4537911512519990802,214,First,ID4537911512519990802_ID4540111516420000731_1,1999,1999-230,-0.310928747,0.350129339,Low
ID4519911434120000710,192,First,ID4519911434120000710_ID4528611446020070713_1,2000,2000-210,0.715286995,-0.817177799,Low
OR4447912051520000823,236,First,OR4447912051520000823_OR4447912049720170909_1,2000,2000-255,-0.652545227,0.69866328,Low
